source_file,csv_file,motion_index,motion_key,frames,fps,columns
ACCAD_retargeted\A1-_Stand_stageii.pkl,csv_npz_input\ACCAD_retargeted\A1-_Stand_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A1-_Stand_stageii.npz,115,30,30
ACCAD_retargeted\A10-_Lie_to_crouch_stageii.pkl,csv_npz_input\ACCAD_retargeted\A10-_Lie_to_crouch_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A10-_Lie_to_crouch_stageii.npz,143,30,30
ACCAD_retargeted\A10_-_lie_to_crouch_stageii.pkl,csv_npz_input\ACCAD_retargeted\A10_-_lie_to_crouch_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A10_-_lie_to_crouch_stageii.npz,131,30,30
ACCAD_retargeted\A11-_Crawl_stageii.pkl,csv_npz_input\ACCAD_retargeted\A11-_Crawl_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A11-_Crawl_stageii.npz,400,30,30
ACCAD_retargeted\A11_-_crawl_forward_stageii.pkl,csv_npz_input\ACCAD_retargeted\A11_-_crawl_forward_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A11_-_crawl_forward_stageii.npz,600,30,30
ACCAD_retargeted\A12-_Crawl_Backwards_stageii.pkl,csv_npz_input\ACCAD_retargeted\A12-_Crawl_Backwards_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A12-_Crawl_Backwards_stageii.npz,511,30,30
ACCAD_retargeted\A12_-_crawl_backwards_stageii.pkl,csv_npz_input\ACCAD_retargeted\A12_-_crawl_backwards_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A12_-_crawl_backwards_stageii.npz,662,30,30
ACCAD_retargeted\A14_-_stand_to_skip_stageii.pkl,csv_npz_input\ACCAD_retargeted\A14_-_stand_to_skip_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A14_-_stand_to_skip_stageii.npz,155,30,30
ACCAD_retargeted\A15_-_skip_to_stand_stageii.pkl,csv_npz_input\ACCAD_retargeted\A15_-_skip_to_stand_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A15_-_skip_to_stand_stageii.npz,128,30,30
ACCAD_retargeted\A1_-_Stand_stageii.pkl,csv_npz_input\ACCAD_retargeted\A1_-_Stand_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A1_-_Stand_stageii.npz,90,30,30
ACCAD_retargeted\A2-_Sway_stageii.pkl,csv_npz_input\ACCAD_retargeted\A2-_Sway_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A2-_Sway_stageii.npz,320,30,30
ACCAD_retargeted\A2_-_Sway_stageii.pkl,csv_npz_input\ACCAD_retargeted\A2_-_Sway_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A2_-_Sway_stageii.npz,361,30,30
ACCAD_retargeted\A2_-_Sway_t2_stageii.pkl,csv_npz_input\ACCAD_retargeted\A2_-_Sway_t2_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_3_box\A2_-_Sway_t2_stageii.npz,479,30,30
ACCAD_retargeted\A3-_Swing_arms_stageii.pkl,csv_npz_input\ACCAD_retargeted\A3-_Swing_arms_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A3-_Swing_arms_stageii.npz,320,30,30
ACCAD_retargeted\A3_-_Swing_stageii.pkl,csv_npz_input\ACCAD_retargeted\A3_-_Swing_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_3_box\A3_-_Swing_stageii.npz,436,30,30
ACCAD_retargeted\A3_-_Swing_t2_stageii.pkl,csv_npz_input\ACCAD_retargeted\A3_-_Swing_t2_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A3_-_Swing_t2_stageii.npz,245,30,30
ACCAD_retargeted\A4-_Look_Around_stageii.pkl,csv_npz_input\ACCAD_retargeted\A4-_Look_Around_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A4-_Look_Around_stageii.npz,482,30,30
ACCAD_retargeted\A4_-_look_stageii.pkl,csv_npz_input\ACCAD_retargeted\A4_-_look_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_3_box\A4_-_look_stageii.npz,639,30,30
ACCAD_retargeted\A5-_Pick_up_box_stageii.pkl,csv_npz_input\ACCAD_retargeted\A5-_Pick_up_box_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A5-_Pick_up_box_stageii.npz,180,30,30
ACCAD_retargeted\A5_-_pick_up_box_stageii.pkl,csv_npz_input\ACCAD_retargeted\A5_-_pick_up_box_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_3_box\A5_-_pick_up_box_stageii.npz,189,30,30
ACCAD_retargeted\A6-_Box_lift_stageii.pkl,csv_npz_input\ACCAD_retargeted\A6-_Box_lift_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A6-_Box_lift_stageii.npz,333,30,30
ACCAD_retargeted\A6-_lift_box_t2_stageii.pkl,csv_npz_input\ACCAD_retargeted\A6-_lift_box_t2_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_3_box\A6-_lift_box_t2_stageii.npz,213,30,30
ACCAD_retargeted\A6_-_lift_box_stageii.pkl,csv_npz_input\ACCAD_retargeted\A6_-_lift_box_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A6_-_lift_box_stageii.npz,252,30,30
ACCAD_retargeted\A7-_Crouch_stageii.pkl,csv_npz_input\ACCAD_retargeted\A7-_Crouch_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\A7-_Crouch_stageii.npz,133,30,30
ACCAD_retargeted\A7_-_crouch_stageii.pkl,csv_npz_input\ACCAD_retargeted\A7_-_crouch_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\A7_-_crouch_stageii.npz,152,30,30
ACCAD_retargeted\A8-_Crouch_to_Lie_stageii.pkl,csv_npz_input\ACCAD_retargeted\A8-_Crouch_to_Lie_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A8-_Crouch_to_Lie_stageii.npz,172,30,30
ACCAD_retargeted\A8_-_crouch_to_lie_stageii.pkl,csv_npz_input\ACCAD_retargeted\A8_-_crouch_to_lie_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A8_-_crouch_to_lie_stageii.npz,194,30,30
ACCAD_retargeted\A9-_Lie_stageii.pkl,csv_npz_input\ACCAD_retargeted\A9-_Lie_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A9-_Lie_stageii.npz,94,30,30
ACCAD_retargeted\A9_-_lie_t2_stageii.pkl,csv_npz_input\ACCAD_retargeted\A9_-_lie_t2_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_5_crawl\A9_-_lie_t2_stageii.npz,237,30,30
ACCAD_retargeted\B10_-_walk_turn_left_(45)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B10_-_walk_turn_left_(45)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B10_-_walk_turn_left_(45)_stageii.npz,238,30,30
ACCAD_retargeted\B11_-_walk_turn_left_(135)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B11_-_walk_turn_left_(135)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B11_-_walk_turn_left_(135)_stageii.npz,281,30,30
ACCAD_retargeted\B12_-_walk_turn_right_(90)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B12_-_walk_turn_right_(90)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B12_-_walk_turn_right_(90)_stageii.npz,233,30,30
ACCAD_retargeted\B13_-_walk_turn_right_(45)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B13_-_walk_turn_right_(45)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B13_-_walk_turn_right_(45)_stageii.npz,250,30,30
ACCAD_retargeted\B14_-_walk_turn_right_(135)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B14_-_walk_turn_right_(135)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B14_-_walk_turn_right_(135)_stageii.npz,269,30,30
ACCAD_retargeted\B15_-_walk_turn_around_(same_direction)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B15_-_walk_turn_around_(same_direction)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B15_-_walk_turn_around_(same_direction)_stageii.npz,319,30,30
ACCAD_retargeted\B16_-_walk_turn_change_direction_stageii.pkl,csv_npz_input\ACCAD_retargeted\B16_-_walk_turn_change_direction_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_6_sway\B16_-_walk_turn_change_direction_stageii.npz,331,30,30
ACCAD_retargeted\B17_-_walk_to_hop_to_walk1_stageii.pkl,csv_npz_input\ACCAD_retargeted\B17_-_walk_to_hop_to_walk1_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B17_-_walk_to_hop_to_walk1_stageii.npz,189,30,30
ACCAD_retargeted\B18_-_walk_to_leap_to_walk_stageii.pkl,csv_npz_input\ACCAD_retargeted\B18_-_walk_to_leap_to_walk_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B18_-_walk_to_leap_to_walk_stageii.npz,171,30,30
ACCAD_retargeted\B19_-_walk_to_pick_up_box_stageii.pkl,csv_npz_input\ACCAD_retargeted\B19_-_walk_to_pick_up_box_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B19_-_walk_to_pick_up_box_stageii.npz,208,30,30
ACCAD_retargeted\B1_-_stand_to_walk_stageii.pkl,csv_npz_input\ACCAD_retargeted\B1_-_stand_to_walk_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\B1_-_stand_to_walk_stageii.npz,187,30,30
ACCAD_retargeted\B20_-_walk_with_box_stageii.pkl,csv_npz_input\ACCAD_retargeted\B20_-_walk_with_box_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_4_walk\B20_-_walk_with_box_stageii.npz,129,30,30
ACCAD_retargeted\B21_-_put_down_box_to_walk_stageii.pkl,csv_npz_input\ACCAD_retargeted\B21_-_put_down_box_to_walk_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B21_-_put_down_box_to_walk_stageii.npz,283,30,30
ACCAD_retargeted\B21_s2_-_put_down_box_to_walk_stageii.pkl,csv_npz_input\ACCAD_retargeted\B21_s2_-_put_down_box_to_walk_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B21_s2_-_put_down_box_to_walk_stageii.npz,345,30,30
ACCAD_retargeted\B21_s3_-_put_down_box_to_walk_stageii.pkl,csv_npz_input\ACCAD_retargeted\B21_s3_-_put_down_box_to_walk_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B21_s3_-_put_down_box_to_walk_stageii.npz,323,30,30
ACCAD_retargeted\B22_-_side_step_left_stageii.pkl,csv_npz_input\ACCAD_retargeted\B22_-_side_step_left_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B22_-_side_step_left_stageii.npz,276,30,30
ACCAD_retargeted\B23_-_side_step_right_stageii.pkl,csv_npz_input\ACCAD_retargeted\B23_-_side_step_right_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B23_-_side_step_right_stageii.npz,250,30,30
ACCAD_retargeted\B24_-_walk_to_crouch_stageii.pkl,csv_npz_input\ACCAD_retargeted\B24_-_walk_to_crouch_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B24_-_walk_to_crouch_stageii.npz,213,30,30
ACCAD_retargeted\B25_-_crouch_to_walk1_stageii.pkl,csv_npz_input\ACCAD_retargeted\B25_-_crouch_to_walk1_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\B25_-_crouch_to_walk1_stageii.npz,178,30,30
ACCAD_retargeted\B27_-skip_to_walk1_stageii.pkl,csv_npz_input\ACCAD_retargeted\B27_-skip_to_walk1_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_4_walk\B27_-skip_to_walk1_stageii.npz,202,30,30
ACCAD_retargeted\B2_-_walk_to_stand_stageii.pkl,csv_npz_input\ACCAD_retargeted\B2_-_walk_to_stand_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B2_-_walk_to_stand_stageii.npz,171,30,30
ACCAD_retargeted\B2_-_walk_to_stand_t2_stageii.pkl,csv_npz_input\ACCAD_retargeted\B2_-_walk_to_stand_t2_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B2_-_walk_to_stand_t2_stageii.npz,147,30,30
ACCAD_retargeted\B3_-_walk1_stageii.pkl,csv_npz_input\ACCAD_retargeted\B3_-_walk1_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B3_-_walk1_stageii.npz,229,30,30
ACCAD_retargeted\B4_-_stand_to_walk_back_stageii.pkl,csv_npz_input\ACCAD_retargeted\B4_-_stand_to_walk_back_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B4_-_stand_to_walk_back_stageii.npz,227,30,30
ACCAD_retargeted\B5_-_walk_backwards_stageii.pkl,csv_npz_input\ACCAD_retargeted\B5_-_walk_backwards_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B5_-_walk_backwards_stageii.npz,346,30,30
ACCAD_retargeted\B6_-_walk_backwards_to_stand_stageii.pkl,csv_npz_input\ACCAD_retargeted\B6_-_walk_backwards_to_stand_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_1_crouch\B6_-_walk_backwards_to_stand_stageii.npz,246,30,30
ACCAD_retargeted\B7_-_walk_backwards_turn_forwards_stageii.pkl,csv_npz_input\ACCAD_retargeted\B7_-_walk_backwards_turn_forwards_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_2_walk\B7_-_walk_backwards_turn_forwards_stageii.npz,260,30,30
ACCAD_retargeted\B9_-_walk_turn_left_(90)_stageii.pkl,csv_npz_input\ACCAD_retargeted\B9_-_walk_turn_left_(90)_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_7_walk\B9_-_walk_turn_left_(90)_stageii.npz,213,30,30
ACCAD_retargeted\C10_-__run_backwards_stop_run_forward_stageii.pkl,csv_npz_input\ACCAD_retargeted\C10_-__run_backwards_stop_run_forward_stageii.csv,0,..\example\motion_data\clustered_motions\cluster_0_run\C10_-__run_backwards_stop_run_forward_stageii.npz,153,30,30
